"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"782307676185387008","","","2016-10-01 19:54:19 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Art of README https://t.co/pUHbJAJlz4","","","","http://blog.eight45.net/2016/10/01/art-of-readme.html"
"781951546942717952","","","2016-09-30 20:19:11 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @Gaymerbrarian: ""How do we preserve something that considers change a significant property?"" #extendingplay","781940520620785664","3120638619","2016-09-30 19:35:22 +0000",""
"781870014014099460","","","2016-09-30 14:55:12 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","#dhdjMiami @paigecmorgan is great at describing linked data: what it is, why it’s important and honest about challenges and work involved","","","",""
"781866337316536320","","","2016-09-30 14:40:35 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @albertocairo: For https://t.co/hRqy4L4aPe @paigecmorgan paigecmorgan got prices from tons of sources: Books, newspapers #dhdjMiami http…","781866192583745536","34255829","2016-09-30 14:40:01 +0000","http://www.paigemorgan.net/visibleprices/project-intro/,http://www.paigemorgan.net/visibleprices/project-intro/,https://twitter.com/albertocairo/status/781866192583745536/photo/1"
"781864341117276160","","","2016-09-30 14:32:39 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Yay RDF! listening to @paigecmorgan  ‘s talk at #dhdjMiami","","","",""
"781539292212563968","","","2016-09-29 17:01:02 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Erlang: The Movie https://t.co/svRh6TgIVV","","","","https://youtu.be/xrIjfIjssLE"
"781528020918104064","","","2016-09-29 16:16:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @albertocairo: 1) Tomorrow the #digitalHumanities+#ddj symposium https://t.co/oqWRwS4ngT begins. 100+ have registered, great for an expe…","781214931513249792","34255829","2016-09-28 19:32:08 +0000","http://dhdjmiami.com/,http://dhdjmiami.com/,https://twitter.com/albertocairo/status/781214931513249792/photo/1"
"781317253115547653","","","2016-09-29 02:18:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Why is Babel a monorepo? babel/monorepo.md at master · babel/babel https://t.co/TrJMLztrAf","","","","https://github.com/babel/babel/blob/master/doc/design/monorepo.md"
"781315540195368960","","","2016-09-29 02:11:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","How Criterion Collection Brings Movies Back From the Dead https://t.co/ScQF228XEp","","","","https://youtu.be/OdjqXOCeEtg"
"781280003661103105","","","2016-09-28 23:50:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jarun/calb: A handy utility for storage conversions and calculations. https://t.co/lxHQGgvybJ","","","","https://github.com/jarun/calb"
"781257065696223232","780791935866773504","1671811","2016-09-28 22:19:34 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@paul_irish @caniuse A sad day for all the XHTML+SMIL developers out there","","","",""
"781234433533804544","","","2016-09-28 20:49:38 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @matissebh: .@ProPublica has created a Chrome tool to help you track what Facebook knows @ you. Break the black box https://t.co/SePzVPn…","781224994269433856","15258823","2016-09-28 20:12:07 +0000","https://www.propublica.org/article/breaking-the-black-box-what-facebook-knows-about-you"
"781230421749170176","","396053839","2016-09-28 20:33:41 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","@jwilaus did you ever get your Hillary stickers? Hoping I get some campaign swag I ordered before the election is over…","","","",""
"781225596353339392","","","2016-09-28 20:14:31 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Very interesting discussions about APTrust joining #DPC at the fall meeting! Hope it happens.","","","",""
"781129087607857152","","","2016-09-28 13:51:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BAVCPreserve: Oliver Morgan reminds us JPEG 2K is 20 years old! Still younger than Nirvana's ""Nevermind."" @iasa_web #iasa2016 #digitalp…","780756755827548160","1128944827","2016-09-27 13:11:31 +0000",""
"780894449014571008","","","2016-09-27 22:18:39 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @rich_lem: I dearly wish I was going to @GaymerX this weekend! Wishing all my friends there a wonderful, creative, celebratory time! htt…","780891126261616640","1405071","2016-09-27 22:05:27 +0000","https://twitter.com/GaymerX/status/780886058439290880"
"780887156684427264","","","2016-09-27 21:49:40 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @joecar25: Starting off #ndsr at the @APTrust members meeting! Waving to my friends across the District attending #AsData and #iasa2016","780749038211784704","1918835226","2016-09-27 12:40:50 +0000",""
